COL0,COL1,COL2,COL3,COL4,COL5,COL6,COL7
5390000.00,290.60,2.40,63001.00,15.30,266071.00,866.00,56680.00
5390001.00,1555.30,2.40,59840.00,16.70,250366.00,861.00,670.00
5390002.00,786.50,2.20,63488.00,19.60,331296.00,1011.00,1740.00
5390003.01,2563.20,2.40,44523.00,33.50,179876.00,751.00,465.00
5390003.02,2131.30,2.90,90176.00,10.10,349291.00,935.00,1695.00
5390004.01,2552.00,2.90,91136.00,12.50,400663.00,814.00,1105.00
5390004.02,973.90,2.30,63488.00,15.60,280376.00,803.00,735.00
5390005.00,2729.10,1.60,31061.00,39.50,301001.00,791.00,680.00
5390006.00,828.10,2.40,80811.00,12.40,349786.00,896.00,630.00
5390007.01,1927.60,2.30,56474.00,18.60,213496.00,940.00,465.00
5390007.02,1331.00,2.60,62912.00,18.60,239966.00,966.00,570.00
5390008.00,1111.30,2.20,55488.00,16.30,199994.00,827.00,250.00
5390009.00,3005.20,1.90,38587.00,33.00,184466.00,763.00,735.00
5390010.00,3084.40,1.90,45645.00,21.30,184952.00,844.00,540.00
5390011.00,2777.00,2.30,53773.00,21.30,190405.00,843.00,1120.00
5390012.01,2819.10,2.00,44992.00,21.60,239820.00,902.00,535.00
5390012.02,2964.90,2.20,52565.00,16.10,240466.00,899.00,635.00
5390013.01,3284.50,2.10,46315.00,24.20,179336.00,901.00,415.00
5390013.02,1567.10,2.40,52779.00,24.10,239119.00,1097.00,395.00
5390014.01,2928.30,2.20,46848.00,27.30,299408.00,832.00,380.00
5390014.02,2531.70,2.40,67925.00,9.90,289183.00,1017.00,630.00
5390014.03,2737.60,2.20,57805.00,14.10,268727.00,984.00,390.00
5390015.00,334.20,2.30,77120.00,8.80,340454.00,0.00,190.00
5390016.01,2635.30,2.50,73728.00,11.60,299087.00,885.00,665.00
5390016.02,2003.50,2.40,75410.00,9.80,299244.00,1194.00,860.00
5390017.01,1971.70,2.50,83648.00,6.20,300539.00,989.00,570.00
5390017.02,2584.30,2.20,71765.00,8.70,300772.00,1201.00,735.00
5390018.01,2907.60,2.30,67541.00,11.90,250530.00,927.00,865.00
5390018.02,2266.10,2.30,70766.00,9.30,280252.00,970.00,765.00
5390018.03,1868.10,2.30,94848.00,7.20,400926.00,936.00,1240.00
5390019.00,107.20,2.80,101120.00,6.20,474497.00,1123.00,230.00
5390020.00,39.40,2.60,94208.00,6.70,449769.00,0.00,80.00
5390100.00,2014.90,2.00,42547.00,25.20,200307.00,791.00,305.00
5390101.00,2290.90,2.40,60885.00,14.70,250403.00,808.00,645.00
5390102.01,1046.70,3.00,88000.00,11.40,299712.00,1002.00,990.00
5390102.02,134.80,2.60,68966.00,13.20,220065.00,916.00,245.00
5390102.03,26.10,2.50,81088.00,9.60,348933.00,1104.00,160.00
5390110.00,515.90,2.00,85589.00,9.70,598884.00,1388.00,1450.00
5390111.00,143.90,2.50,85175.00,8.50,449263.00,1068.00,1535.00
5390112.00,83.30,2.50,85606.00,11.60,500112.00,1530.00,1415.00
5390200.00,29.40,2.60,86067.00,8.60,400872.00,913.00,390.00
5390201.00,698.80,2.40,65952.00,14.00,250106.00,944.00,405.00
5390202.00,69.20,2.90,66304.00,20.20,400446.00,1854.00,195.00
5390203.01,1935.90,2.30,47573.00,25.10,200115.00,822.00,305.00
5390203.02,1742.20,2.60,69056.00,10.60,236414.00,1170.00,345.00
5390204.00,2184.60,2.10,48400.00,19.60,200441.00,893.00,625.00
5390205.00,731.20,2.20,36907.00,37.90,160201.00,807.00,135.00
5390206.00,3226.90,2.10,42825.00,30.60,180099.00,758.00,430.00
5390207.00,1904.20,2.10,49003.00,20.20,220127.00,853.00,465.00
5390208.00,1484.00,2.30,61419.00,12.50,250485.00,1000.00,805.00
5390209.03,1959.70,2.60,64256.00,16.80,250471.00,884.00,525.00
5390209.04,1543.80,2.70,72141.00,13.50,276421.00,900.00,395.00
5390209.05,2293.50,2.70,82133.00,8.70,290336.00,1137.00,935.00
5390209.06,1714.60,2.50,82688.00,8.40,399806.00,811.00,765.00
5390210.00,227.70,3.00,94362.00,10.10,400026.00,1034.00,1770.00
5390211.00,1995.50,2.70,84699.00,7.80,300503.00,1228.00,755.00
5390212.00,2234.90,1.90,47019.00,18.50,200008.00,892.00,265.00
5390213.00,1783.00,2.50,73952.00,7.00,290144.00,1064.00,490.00
5390214.00,1920.60,2.30,60390.00,13.50,229454.00,900.00,435.00
5390215.00,1022.90,2.00,38377.00,32.80,150425.00,794.00,250.00
5390220.01,868.20,2.70,108117.00,3.30,390680.00,1225.00,1535.00
5390220.02,579.70,2.30,84117.00,6.30,348912.00,825.00,1235.00
5390221.00,54.40,2.70,92493.00,6.70,448931.00,779.00,1105.00
5390230.00,29.30,2.60,80205.00,9.20,300537.00,998.00,665.00
5390240.00,154.00,2.50,77414.00,8.00,349155.00,1000.00,1135.00
5390241.00,34.00,2.70,95680.00,7.00,479902.00,803.00,555.00
5390242.01,619.80,2.80,90709.00,6.80,349385.00,958.00,1135.00
5390242.02,273.60,2.60,90411.00,7.00,399875.00,820.00,805.00
5390300.00,153.40,2.40,73984.00,7.10,230343.00,791.00,100.00
5390301.00,1003.90,2.20,52281.00,19.60,179838.00,932.00,370.00
5390302.00,1070.80,2.40,52821.00,20.20,165543.00,787.00,70.00
5390303.00,45.60,2.60,90880.00,9.30,348743.00,0.00,175.00
5390304.00,1851.10,2.20,49024.00,20.20,165544.00,752.00,155.00
5390305.00,2318.50,1.90,29952.00,45.40,145030.00,707.00,75.00
5390306.00,2665.30,1.90,32560.00,40.40,160739.00,743.00,140.00
5390307.00,2257.10,2.00,41253.00,25.10,170769.00,718.00,240.00
5390308.00,290.90,2.20,58240.00,18.80,175071.00,894.00,220.00
5390309.00,2084.90,2.20,60736.00,16.10,219459.00,772.00,465.00
5390310.01,2130.20,2.00,52864.00,16.30,229902.00,907.00,285.00
5390310.02,1225.80,2.50,74786.00,9.10,275274.00,941.00,885.00
5390311.02,1163.50,2.40,70382.00,11.10,250764.00,996.00,765.00
5390311.03,1262.80,2.80,81664.00,9.90,279084.00,902.00,850.00
5390311.04,2270.80,2.60,70720.00,13.70,239645.00,950.00,370.00
5390320.00,572.00,2.20,47136.00,24.20,150091.00,802.00,125.00
5390321.00,1443.10,2.20,64384.00,11.00,219051.00,866.00,650.00
5390322.00,1323.70,1.90,43093.00,22.40,175037.00,829.00,155.00
5390323.00,215.80,2.50,67186.00,12.00,224407.00,753.00,300.00
5390324.00,37.40,2.40,72192.00,10.60,276358.00,691.00,310.00
5390330.00,1411.50,2.20,45552.00,25.30,165100.00,843.00,305.00
5390331.01,388.80,2.50,71578.00,10.90,234527.00,895.00,565.00
5390331.02,744.80,2.30,60203.00,17.90,250224.00,804.00,420.00
5390332.00,151.00,2.30,60621.00,17.70,200074.00,802.00,520.00
5390333.00,48.20,2.30,66970.00,10.30,249982.00,945.00,345.00
5390334.01,228.00,2.10,54176.00,19.20,240305.00,780.00,670.00
5390334.02,211.30,2.40,75930.00,9.50,280123.00,834.00,555.00
